name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Shake, fast food, vanilla",1400,14347,,0.002,0.049,0.116,0.012,0.004,,,0.003,,,,,1.785,0.316,0.057,0.036,0.003,,,,,,,,,,,,,,,0.009,0.006,,,,,,,,,,,,
"Strawberry-flavor beverage mix, powder",1400,14350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strawberry-flavor beverage mix, powder, prepared with whole milk",1400,14351,,,,0.069,,,,,,,,,,0.886,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, brewed, prepared with tap water, decaffeinated",1400,14352,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, unsweetened, powder, decaffeinated",1400,14353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, brewed, prepared with tap water",1400,14355,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sodium saccharin, lemon-flavored, powder, decaffeinated",1400,14356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, decaffeinated",1400,14357,,,,0.002,,,,,,,,,,0.027,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, unsweetened, powder",1400,14366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, unsweetened, powder, prepared",1400,14367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, unsweetened, lemon-flavored, powder",1400,14368,,,,,,,,,,,,,,0.012,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder",1400,14370,,,,0.002,,,,,,,,,,0.033,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, prepared",1400,14371,,,,,,,,,,,,,,0.002,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sodium saccharin, lemon-flavored, powder",1400,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sodium saccharin, lemon-flavored, prepared",1400,14376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, herb, other than chamomile, brewed",1400,14381,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sports drink, fruit-flavored, low calorie, ready-to-drink",1400,14383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, PERRIER",1400,14384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, POLAND SPRING",1400,14385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cocoa mix, with aspartame, powder, prepared with water",1400,14390,,,,,,,,,,,,,,0.076,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbonated beverage, cola, contains caffeine",1400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit punch juice drink, frozen concentrate",1400,14405,,,,0.007,,,,,,,,,,0.086,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit punch juice drink, frozen concentrate, prepared with water",1400,14406,,,,0.002,,,,,,,,,,0.021,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange-flavor drink, breakfast type, powder",1400,14407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange-flavor drink, breakfast type, powder, prepared with water",1400,14408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange-flavor drink, breakfast type, low calorie, powder",1400,14409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, tap, drinking",1400,14411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, tap, well",1400,14412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, liqueur, coffee, 53 proof",1400,14414,,,,,,,,,,,,,,0.022,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",1400,14415,,,,0.34,,,,,,,,,,4.458,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbonated beverage, low calorie, cola or pepper-type, with aspartame, contains caffeine",1400,14416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee substitute, cereal grain beverage, powder, prepared with whole milk",1400,14421,,,,0.074,,,,,,,,,,0.958,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder",1400,14422,,,,0.003,,,,,,,,,,0.496,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice",1400,14423,,,,,,,,,,,,,,0.043,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange-flavor drink, breakfast type, with pulp, frozen concentrate",1400,14424,,,,0.002,,,,,,,,,,0.226,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water",1400,14425,,,,,,,,,,,,,,0.064,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange drink, breakfast type, with juice and pulp, frozen concentrate",1400,14426,,,,,,,,,,,,,,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",1400,14427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shake, fast food, strawberry",1400,14428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, tap, municipal",1400,14429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cranberry juice cocktail, frozen concentrate",1400,14430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cranberry juice cocktail, frozen concentrate, prepared with water",1400,14431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, DANNON",1400,14432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, PEPSI, AQUAFINA",1400,14433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, DASANI",1400,14434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange breakfast drink, ready-to-drink",1400,14435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange breakfast drink, ready-to-drink, with added nutrients",1400,14436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, CALISTOGA",1400,14437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, CRYSTAL GEYSER",1400,14438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, NAYA",1400,14439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, DANNON Fluoride To Go",1400,14440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drink mix, QUAKER OATS, GATORADE, orange flavor, powder",1400,14450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sports drink, PEPSICO QUAKER GATORADE, GATORADE, original, fruit-flavored, ready-to-drink",1400,14460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sports drink, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",1400,14461,,,,,,,,,,,,,,0.011,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QUAKER OATS, PROPEL Fitness Water, fruit-flavored, non-carbonated",1400,14462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, ready-to-drink, ARIZONA iced tea, with lemon flavor",1400,14475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, ready-to-drink, LIPTON BRISK iced tea, with lemon flavor",1400,14476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whiskey sour mix, bottled, with added potassium and sodium",1400,14530,,,,,,,,,,,,,,0.002,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, whiskey sour, prepared from item 14530",1400,14531,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",1400,14532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",1400,14533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, liqueur, coffee, 63 proof",1400,14534,,,,,,,,,,,,,,0.022,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, wine, dessert, dry",1400,14536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",1400,14537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cocoa mix, with aspartame, low calorie, powder, with added calcium phosphorus, without added sodium or vitamin A",1400,14538,,,,0.048,,0.003,,,,,,,,0.979,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit punch-flavor drink, powder, without added sodium",1400,14540,,,,,,,,,,,,,,0.007,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fruit punch-flavor drink, powder, without added sodium, prepared with water",1400,14541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lemonade, frozen concentrate, pink",1400,14542,,,,,,,,,,,,,,0.008,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lemonade, frozen concentrate, pink, prepared with water",1400,14543,,,,,,,,,,,,,,0.002,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, brewed, prepared with distilled water",1400,14544,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, herb, chamomile, brewed",1400,14545,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, instant, sweetened with sugar, lemon-flavored, with added ascorbic acid, powder",1400,14548,,,,,,,,,,,,,,0.011,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",1400,14550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",1400,14551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbonated beverage, chocolate-flavored soda",1400,14552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wine, non-alcoholic",1400,14553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, generic",1400,14555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chocolate-flavor beverage mix for milk, powder, with added nutrients",1400,14557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",1400,14558,,,,,,,,,,,,,,0.745,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, bottled, non-carbonated, EVIAN",1400,14559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tea, ready-to-drink, unsweetened, WENDY'S, fast food, without ice",1400,14601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alcoholic Beverage, wine, table, red, Merlot",1400,14602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, non-carbonated, bottles, natural fruit flavors, sweetened with low calorie sweetener",1400,14604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water with added vitamins and minerals, bottles, sweetened, assorted fruit flavors",1400,14605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breakfast type drink, orange flavor, reduced sugar",1400,14606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Berry Blend",1400,14607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Fruit Medley",1400,14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Strawberry Kiwi",1400,14609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Diet Tropical Blend",1400,14610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Berry Blend",1400,14611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Fruit Medley",1400,14612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Guava Passion Fruit",1400,14613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Mango Peach",1400,14614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Orange Pineapple",1400,14615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Orchard Blend",1400,14616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Strawberry Banana",1400,14617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Strawberry Kiwi",1400,14618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 SPLASH Juice Drinks, Tropical Blend",1400,14619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 V. FUSION Juices, Peach Mango",1400,14620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 V. FUSION Juices, Strawberry Banana",1400,14621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 V. FUSION Juices, Tropical",1400,14622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAMPBELL Soup Company, V8 V. FUSION Juices, Acai Berry",1400,14623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee substitute, roasted grain beverage, NATURAL TOUCH KAFFREE ROMA, powder",1400,14624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, AMP",1400,14625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, FULL THROTTLE",1400,14626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Drink, Monster",1400,14627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, AMP, sugar free",1400,14628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, ROCKSTAR",1400,14629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, ROCKSTAR, sugar free",1400,14630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beverage, Horchata, dry mix, unprepared, variety of brands, all with morro seeds",1400,14631,,0.035,,0.013,,0.02,0.003,0.002,,,,,,3.174,2.069,0.002,0.008,0.026,,0.012,,0.009,,,,,0.003,0.013,3.124,1.991,0.002,,0.003,,0.012,0.009,,,0.058,,,,,,0.002,
"Meal supplement drink, NESTLE, SUPLIGEN, canned, peanut flavor",1400,14632,,0.05,,0.003,,0.02,,,,,,,,1.922,0.178,,0.003,0.022,,0.367,,0.044,,,,,,0.003,1.532,0.13,,,,,0.367,0.044,,,0.005,,,,,,,
"Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",1400,14633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ready-to-drink reduced fat milk beverage, flavored and sweetened, with added calcium, vitamin A and vitamin D",1400,14634,,,,0.03,,0.002,,,,,,,,0.47,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",1400,14635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beverages, fruit juice drink, reduced sugar, with vitamin E added",1400,14636,,,,0.002,,,,,,,,,,0.012,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water, with corn syrup and/or sugar and low calorie sweetener, fruit flavored",1400,14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beverage, Horchata, as served in restaurant",1400,14638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rice drink, unsweetened, with added calcium, vitamins A and D",1400,14639,,,,,,,,,,,,,,0.625,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, VAULT, citrus flavor",1400,14640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy drink, VAULT Zero, sugar-free, citrus flavor",1400,14641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, anchovy, european, raw",1500,15001,0.911,,,0.4,0.055,,0.538,0.115,0.029,,,,,1.182,1.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, anchovy, european, canned in oil, drained solids",1500,15002,1.292,,,0.59,0.078,0.009,0.763,0.163,0.041,,,,,3.77,2.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, bass, fresh water, mixed species, raw",1500,15003,0.357,,,0.382,0.039,0.057,0.238,,0.084,,,,,1.431,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, bass, striped, raw",1500,15004,0.585,,,0.151,,0.057,0.169,,,,,,,0.66,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, bluefish, raw",1500,15005,0.519,,,0.277,0.167,0.34,0.252,0.492,0.062,,,,,1.793,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, burbot, raw",1500,15006,0.096,,,0.026,,0.006,0.07,0.003,0.026,,,,,0.133,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, butterfish, raw",1500,15007,,,,,,,,,,,,,,3.38,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, carp, raw",1500,15008,0.114,,,0.655,0.058,0.071,0.238,0.402,0.082,,,,,2.328,1.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, carp, cooked, dry heat",1500,15009,0.146,,,0.84,0.074,0.091,0.305,0.515,0.105,,,,,2.985,1.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, catfish, channel, wild, raw",1500,15010,0.234,,,0.176,0.013,0.021,0.13,0.008,0.1,,,,,0.844,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, catfish, channel, cooked, breaded and fried",1500,15011,0.222,,,0.171,0.03,0.049,0.119,0.002,0.057,,,,,5.611,3.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, caviar, black and red, granular",1500,15012,3.8,,,1.043,0.033,0.309,2.741,0.114,0.229,,,,,4.631,7.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cisco, raw",1500,15013,0.257,,,0.114,0.029,0.019,0.095,0.045,0.053,,,,,0.469,0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cisco, smoked",1500,15014,0.612,,,2.665,0.227,0.369,0.639,,0.268,,,,,5.484,2.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cod, Atlantic, raw",1500,15015,0.12,,,0.016,,0.015,0.064,0.003,0.01,,,,,0.094,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cod, Atlantic, cooked, dry heat",1500,15016,0.154,,,0.021,,0.019,0.004,0.004,0.013,,,,,0.124,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cod, Atlantic, canned, solids and liquid",1500,15017,0.153,,,0.02,,0.019,0.004,0.004,0.013,,,,,0.124,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cod, Atlantic, dried and salted",1500,15018,0.423,,,0.056,0.004,0.053,0.011,0.011,0.035,,,,,0.342,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cod, Pacific, raw",1500,15019,0.096,,,0.004,,0.005,0.034,,0.004,,,,,0.073,0.164,,,,,0.002,,0.002,,,,0.004,,0.004,0.039,0.015,,,0.014,0.002,0.003,0.002,,0.002,,,,,,,,
"Fish, croaker, Atlantic, raw",1500,15020,0.097,,,0.464,0.011,0.086,0.123,,0.086,,,,,1.149,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, croaker, Atlantic, cooked, breaded and fried",1500,15021,0.089,,,0.444,0.01,0.079,0.113,,0.079,,,,,5.32,2.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, cusk, raw",1500,15022,,,,,,,,,,,,,,0.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, dolphinfish, raw",1500,15023,0.088,,,0.023,0.005,0.003,0.02,0.009,0.009,,,,,0.121,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, drum, freshwater, raw",1500,15024,0.287,,,0.791,,0.081,0.23,0.119,0.144,,,,,2.19,1.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, eel, mixed species, raw",1500,15025,0.063,,,1.255,,3,0.084,,0.074,,,,,7.19,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, eel, mixed species, cooked, dry heat",1500,15026,0.081,,,1.609,,3.846,0.108,,0.095,,,,,9.218,1.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, fish portions and sticks, frozen, preheated",1500,15027,0.252,0.034,,0.025,,0.034,0.15,,0.006,3,,,,4.21,5.701,,,,,0.855,,,,,,,,,3.296,,,,,,0.855,,,,0.313,,,,,,,
"Fish, flatfish (flounder and sole species), raw",1500,15028,0.108,,,0.09,0.012,0.06,0.137,,0.028,,,,,0.535,0.374,0.007,0.003,,0.002,0.007,,,,,,,0.005,0.088,0.35,0.043,,,0.027,0.007,0.01,,,,0.017,0.005,0.002,,,,,
"Fish, flatfish (flounder and sole species), cooked, dry heat",1500,15029,0.132,,,0.111,0.015,0.073,0.168,,0.034,,,,,0.657,0.459,0.008,0.004,,,,,,,,,,0.006,,,,,,0.033,0.009,,,,,,,,,,,0.002,
"Fish, gefiltefish, commercial, sweet recipe",1500,15030,0.045,,,0.257,0.022,0.109,0.075,0.051,0.027,,,,,0.824,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, grouper, mixed species, raw",1500,15031,0.22,,,0.027,,0.029,0.027,0.007,0.01,,,,,0.202,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, grouper, mixed species, cooked, dry heat",1500,15032,0.213,,,0.026,,,0.035,,0.017,,,,,0.268,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, haddock, raw",1500,15033,0.089,,,0.004,0.002,0.005,0.042,0.002,0.005,,,,,0.061,0.166,,,,,0.003,,,,,,0.004,,0.003,0.037,0.014,0.002,,0.006,0.002,0.003,,,,0.002,,,,,,,
"Fish, haddock, cooked, dry heat",1500,15034,0.109,,,0.005,0.002,0.006,0.051,0.002,0.006,,,,,0.074,0.204,,,,,,,,,,,0.005,,,,,,,0.008,0.002,,,,,,,,,,,,
"Fish, haddock, smoked",1500,15035,0.168,,,0.023,0.004,0.013,0.079,0.031,0.025,,,,,0.157,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
