name,group,id,22:6 n-3 (DHA) (g),22:0 (g),14:1 (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Phytosterols (mg),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",15:0 (g),17:0 (g),24:0 (g),16:1 t (g),18:1 t (g),22:1 t (g),18:2 t not further defined (g),18:2 i (g),"18:2 t,t (g)",18:2 CLAs (g),24:1 c (g),"20:2 n-6 c,c (g)",16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),"Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",13:0 (g),15:1 (g),"18:3 n-3 c,c,c (ALA) (g)",20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11t (18:1t n-7) (g)
"Pork, fresh, loin, whole, separable lean only, cooked, broiled",1000,10026,,,,0.32,,0.09,,,,,,,,4.45,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, loin, whole, separable lean only, cooked, roasted",1000,10027,,,,0.31,,0.09,,,,,,,,4.32,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",1000,10028,0.002,,0.002,0.248,,0.08,,,0.01,,,,,4.913,1.941,0.006,0.039,0.002,,0.061,,0.012,,,,,0.067,,4.523,1.687,,0.002,,0.008,0.061,0.019,,,0.07,,,,0.007,,,
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",1000,10029,,0.002,,0.258,,0.083,,,0.011,,,,,5.067,1.948,0.006,0.039,0.002,,0.053,,0.008,,,,,0.067,,4.672,0.878,,0.003,,0.008,0.053,0.014,,,0.066,,,,0.006,,,
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",1000,10030,,0.002,,0.246,,0.08,,,0.011,,,,,4.887,1.894,0.006,0.023,0.002,,0.052,,0.008,,,,,0.065,,4.507,0.922,,0.003,,0.008,0.052,0.014,,,0.065,,,,0.006,,,
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10031,,0.002,0.003,0.324,,0.112,,,0.009,,,,,6.684,2.465,0.01,0.055,0.002,,0.085,,0.018,,,,,0.088,,6.16,2.176,,0.003,,0.011,0.085,0.027,,,0.083,,,,0.009,,,
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean only, raw",1000,10032,,,,0.132,,0.036,,,0.007,,,,,2.301,0.805,0.003,0.014,,,0.018,,,,,,,0.026,,2.115,0.673,,0.002,,0.003,0.018,0.002,,,0.025,,,,,,,
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised",1000,10033,,0.002,,0.173,,0.047,,,0.009,,,,,3.02,1.056,0.003,0.019,,,0.024,,,,,,,0.034,,2.776,,,0.003,,0.004,0.024,0.002,,,0.033,,,,,,,
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled",1000,10034,,0.002,,0.155,,0.042,,,0.008,,,,,2.707,0.947,0.003,,,,0.021,,,,,,,0.031,,2.488,,,0.003,,0.004,0.021,0.002,,,0.029,,,,,,,
"Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",1000,10035,,0.002,0.002,0.237,,0.076,,,0.006,,,,,4.572,1.524,0.006,0.034,0.002,,0.056,,0.011,,,,,0.054,,4.202,1.334,,0.003,,0.007,0.056,0.015,,,0.048,,,,0.004,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",1000,10036,,,,0.16,,0.056,,,,,,,,3.548,1.19,0.003,0.028,,,0.063,,,,0.03,,,0.039,,3.266,1.023,,,0.002,0.005,0.063,0.021,,,0.046,,,,,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",1000,10037,,0.002,,0.28,,0.091,,,0.012,,,,,5.557,2.155,0.007,0.043,0.002,,0.059,,0.009,,,,,0.074,,5.125,1.052,,0.003,,0.009,0.059,0.017,,,0.074,,,,0.007,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",1000,10038,,,,0.187,,0.064,,,,,,,,4.22,1.359,0.002,0.033,,,0.074,,,,0.033,,,0.043,,3.884,1.151,,,0.01,0.004,0.074,0.033,,,0.051,,,,,,,
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",1000,10039,,,,0.27,,0.086,,,0.01,,,,,5.478,2.073,0.003,0.045,,,0.067,,0.02,,,,,0.072,,5.053,1.828,,,,0.004,0.067,0.025,,,0.071,,,,0.005,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",1000,10040,,,,0.059,,0.019,,,,,,,,1.346,0.415,,0.009,,,0.023,,,,0.01,,,0.012,,1.242,0.343,,,0.002,,0.023,,,,0.014,,,,,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised",1000,10041,,0.002,,0.179,,0.049,,,0.009,,,,,3.114,1.089,0.003,0.019,,,0.025,,,,,,,0.035,,2.862,,,0.003,,0.004,0.025,0.002,,,0.034,,,,,,,
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, broiled",1000,10042,,,,0.116,,0.037,,,,,,,,2.643,0.816,,0.018,,,0.045,,,,0.019,,,0.023,,2.44,0.674,,,0.004,,0.045,0.019,,,0.027,,,,,,,
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean only, cooked, roasted",1000,10043,,,,0.183,,0.05,,,0.007,,,,,3.398,1.162,,0.025,,,0.039,,0.014,,,,,0.039,,3.127,1.013,,,,,0.039,0.014,,,0.037,,,,,,,
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean and fat, raw",1000,10044,,,,0.236,,0.072,,,,,,,,2.756,0.964,0.004,0.035,,,0.072,,,,0.037,,,0.048,,4.182,1.238,,0.002,0.002,0.007,0.049,0.025,,,0.057,,,,,,,
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",1000,10045,,0.002,0.002,0.3,,0.101,,,0.013,,,,,6.088,2.397,0.008,0.049,0.002,,0.067,,0.012,,,,,0.083,,5.618,1.331,,0.003,,0.01,0.067,0.02,,,0.083,,,,0.008,,,
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",1000,10046,,,,0.294,,0.083,,,,,,,,5.41,1.593,0.003,0.04,,,0.08,,,,0.04,,,0.053,,4.941,1.356,,0.002,0.012,0.007,0.08,0.04,,,0.061,,,,,,,
