name,group,id,Niacin (mg),Pantothenic acid (mg),Vitamin B-6 (mg),"Folate, total (mcg)",Vitamin B-12 (mcg),"Choline, total (mg)",Menaquinone-4 (mcg),Dihydrophylloquinone (mcg),Vitamin K (phylloquinone) (mcg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)",Betaine (mg),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic acid (g),Glutamic acid (g),Glycine (g),Proline (g),Serine (g),Hydroxyproline (g),"Vitamin E, added (mg)","Vitamin B-12, added (mcg)",Cholesterol (mg),"Fatty acids, total trans (g)","Fatty acids, total saturated (g)",4:0 (g),6:0 (g),8:0 (g),10:0 (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),18:1 undifferentiated (g),18:2 undifferentiated (g),18:3 undifferentiated (g),20:4 undifferentiated (g)
"Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",1000,10213,5.077,0.728,0.467,5,0.75,97.9,,,,,5,5,3.8,0.36,1.298,1.329,2.282,2.56,0.751,0.362,1.136,0.988,1.544,1.778,1.132,1.663,2.637,4.444,1.384,1.162,1.177,,,,86,,3.42,,,,0.01,0.01,0.12,2.11,1.11,,3.72,0.75,0.02,0.04
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",1000,10214,4.407,0.828,0.63,5,0.69,,,,,,5,5,,0.268,0.962,0.986,1.69,1.894,0.558,0.269,0.841,0.734,1.143,1.309,0.841,1.227,1.953,3.297,1,0.846,0.87,,,,63,,1.46,,,,,,0.05,0.93,0.46,,1.73,0.37,0.02,0.05
"Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, braised",1000,10215,3.955,0.69,0.444,3,0.57,,,,,,3,3,,0.343,1.233,1.264,2.166,2.428,0.715,0.344,1.078,0.941,1.465,1.678,1.079,1.573,2.504,4.227,1.282,1.085,1.115,,,,81,,2.34,,,,,,0.08,1.45,0.75,,2.61,0.5,0.01,0.03
"Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, broiled",1000,10216,4.764,0.906,0.54,6,0.84,107,,,,,6,6,4.1,0.395,1.422,1.458,2.498,2.799,0.824,0.397,1.243,1.085,1.689,1.935,1.244,1.814,2.887,4.873,1.478,1.251,1.286,,,,92,,2.22,,,,,,0.07,1.38,0.69,,2.6,0.43,0.01,0.06
"Pork, fresh, loin, sirloin (roasts), boneless, separable lean only, cooked, roasted",1000,10217,5.131,0.737,0.475,5,0.76,99.1,,,,,5,5,3.8,0.366,1.317,1.351,2.315,2.594,0.764,0.368,1.152,1.005,1.565,1.793,1.152,1.681,2.676,4.516,1.37,1.159,1.192,,,,86,,2.97,,,,0.01,0.01,0.1,1.84,0.95,,3.27,0.64,0.02,0.04
"Pork, fresh, loin, tenderloin, separable lean and fat, raw",1000,10218,6.61,0.837,0.765,,0.52,79.7,,,,,,,3,0.217,0.927,1.016,1.759,1.915,0.569,0.238,0.868,0.786,1.079,1.374,0.892,1.212,2.02,3.296,0.93,0.835,0.893,0.053,,,65,0.036,1.181,,,,,,0.039,0.725,0.404,0.003,1.259,0.476,0.016,0.054
"Pork, fresh, ground, raw",1000,10219,4.338,0.668,0.383,5,0.7,,,,,,5,5,,0.214,0.771,0.79,1.354,1.518,0.447,0.215,0.674,0.588,0.916,1.049,0.674,0.983,1.566,2.642,0.802,0.678,0.697,,,,72,,7.87,,,,0.01,0.02,0.33,4.77,2.55,,8.5,1.67,0.07,0.08
"Pork, fresh, ground, cooked",1000,10220,4.206,0.52,0.391,6,0.54,88.3,,,,,6,6,3.4,0.326,1.173,1.203,2.061,2.31,0.68,0.328,1.025,0.895,1.394,1.597,1.026,1.497,2.383,4.022,1.22,1.032,1.061,,,,94,,7.72,,,,0.01,0.01,0.33,4.67,2.5,,8.33,1.64,0.07,0.08
"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",1000,10221,5.054,0.899,0.515,6,0.98,,,,,,6,6,,0.376,1.358,1.39,2.389,2.68,0.786,0.379,1.19,1.034,1.616,1.866,1.182,1.744,2.76,4.648,1.463,1.224,1.233,,,,94,,2.93,,,,0.01,0.01,0.1,1.79,0.97,,3.01,0.65,0.02,0.04
"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",1000,10222,7.402,1.008,0.735,,0.57,88.5,,,,,,,4.3,0.274,1.169,1.281,2.219,2.415,0.717,0.3,1.095,0.991,1.361,1.733,1.125,1.529,2.548,4.158,1.173,1.053,1.126,0.067,,,73,0.038,1.358,,,,,,0.045,0.832,0.465,0.002,1.408,0.48,0.016,0.057
"Pork, fresh, loin, tenderloin, separable lean only, cooked, broiled",1000,10223,5.135,0.917,0.528,6,1,,,,,,6,6,,0.386,1.389,1.424,2.441,2.736,0.805,0.388,1.214,1.06,1.65,1.891,1.215,1.772,2.822,4.762,1.444,1.222,1.257,,,,94,,2.24,,,,0.01,0.01,0.07,1.37,0.74,,2.31,0.49,0.01,0.04
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, raw",1000,10224,5.566,0.722,0.718,,0.54,57.3,,,,,,,3.1,0.225,0.958,1.05,1.818,1.979,0.588,0.246,0.897,0.812,1.115,1.42,0.922,1.253,2.087,3.407,0.961,0.863,0.923,0.055,,,64,0.05,1.598,,,,0.004,0.003,0.098,1.701,0.919,0.008,3.126,0.913,0.041,0.042
"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, raw",1000,10225,5.745,0.745,0.755,,0.51,59.5,,,,,,,3.1,0.236,1.005,1.102,1.908,2.077,0.617,0.258,0.941,0.852,1.17,1.49,0.967,1.315,2.191,3.575,1.009,0.905,0.968,0.057,,,63,,1.248,,,,,,0.045,0.782,0.404,,1.476,0.349,0.013,0.034
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, raw",1000,10226,5.452,0.903,0.625,1,0.64,50.7,,,,,1,1,2.6,0.22,0.903,0.975,1.687,1.848,0.547,0.237,0.834,0.748,1.057,1.319,0.85,1.178,1.939,3.185,0.928,0.817,0.86,0.04,,,65,0.065,3.106,,,,0.007,0.007,0.123,2.154,1.16,0.009,3.952,1.093,0.056,0.056
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",1000,10227,6.368,0.727,0.561,2,0.68,63.4,,,,,2,2,2.5,0.299,1.179,1.256,2.164,2.386,0.706,0.315,1.072,0.955,1.385,1.685,1.089,1.525,2.492,4.126,1.202,1.051,1.105,0.038,,,83,0.058,4.703,,,,0.009,0.008,0.165,2.893,1.543,0.009,5.259,1.188,0.048,0.074
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",1000,10228,4.825,0.789,0.51,5,0.66,,,,,,5,5,,0.27,0.97,0.994,1.704,1.909,0.562,0.271,0.848,0.74,1.152,1.32,0.848,1.237,1.969,3.324,1.008,0.853,0.877,,,,60,,2.03,,,,0.01,0.01,0.07,1.29,0.64,,2.41,0.51,0.02,0.07
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",1000,10229,5.251,0.692,0.435,6,0.75,,,,,,6,6,,0.374,1.346,1.38,2.364,2.65,0.78,0.376,1.176,1.027,1.599,1.832,1.177,1.717,2.733,4.613,1.399,1.184,1.217,,,,85,,3.34,,,,0.01,0.01,0.12,2.07,1.07,,3.78,0.61,0.02,0.05
"USDA Commodity, pork, cured, ham, boneless, cooked, heated",1000,10802,3.553,0.873,0.256,3,1.41,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,73,,1.701,,,0.004,0.01,0.006,0.055,1.112,0.451,,2.625,0.595,0.034,0.077
"USDA Commodity, pork, ground, fine/coarse, frozen, cooked",1000,10803,3.597,0.923,0.167,6,2.3,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,105,,5.515,,,0.005,0.025,0.014,0.181,3.623,1.505,,8.435,2.034,0.089,0.11
"USDA Commodity, pork, cured, ham, boneless, cooked, unheated",1000,10804,2.525,0.659,0.229,4,0.68,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,71,,1.673,,,,0.011,0.006,0.057,1.068,0.444,,2.437,0.595,0.029,0.004
"USDA Commodity, pork, ground, fine/coarse, frozen, raw",1000,10805,3.959,0.61,0.35,5,0.64,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,58,,6.379,,,0.008,0.008,0.016,0.267,3.866,2.067,,6.889,1.354,0.057,0.065
"HORMEL, Cure 81 Ham",1000,10851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,1.17,,,,,,0.04,0.75,0.4,,1.63,0.34,0.02,
"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",1000,10852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,1.05,,,,,,0.04,0.65,0.34,,1.18,0.56,0.03,
"HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",1000,10853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,1.16,,,,,,0.04,0.72,0.36,,1.37,0.86,0.1,
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",1000,10854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,1.41,,,,,,0.05,0.88,0.47,,1.72,0.56,0.05,
"HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork",1000,10855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,3.6,,,,,,0.11,2.21,1.25,,4.18,0.75,0.09,
"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",1000,10856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,2.84,,,,,,0.09,1.75,0.96,,3.21,0.59,0.05,
HORMEL Canadian Style Bacon,1000,10857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,1.83,,,,,,0.07,1.13,0.61,,2.34,0.59,0.04,
"Pork, fresh, loin, top loin (chops), boneless, enhanced, separable lean only, cooked, pan-broiled",1000,10858,10.323,0.786,0.489,1,0.52,98.7,,,,,1,1,2.4,0.268,1.139,1.363,2.288,2.529,0.764,0.308,1.128,0.974,1.448,1.805,1.267,1.596,2.623,4.264,1.249,1.082,1.16,0.056,,,75,0.03,1.797,,,,0.002,0.002,0.068,1.118,0.586,0.009,2.206,0.561,0.019,0.07
"Pork, fresh, loin, top loin (chops), boneless, enhanced, separable lean and fat, cooked, pan-broiled",1000,10859,10.192,0.79,0.476,1,0.55,,,,,,1,1,,0.259,1.103,1.321,2.223,2.455,0.738,0.301,1.1,0.94,1.416,1.777,1.241,1.589,2.564,4.15,1.337,1.114,1.138,0.119,,,75,0.087,2.725,,,,0.002,,0.1,1.677,0.91,0.014,3.219,0.513,0.038,0.074
"Pork, cured, bacon, cooked, baked",1000,10860,10.623,1.033,0.309,2,1.16,119.3,,,0.1,,2,2,3.4,0.299,1.399,1.676,2.782,2.964,0.795,0.397,1.417,1.119,1.901,2.314,1.343,2.286,3.362,5.26,2.508,1.96,1.359,0.628,,,107,,14.187,,,,0.01,,0.551,9.028,4.411,0.081,17.439,4.088,0.21,0.152
"Pork, cured, bacon, cooked, microwaved",1000,10861,10.15,1.265,0.433,2,1.58,124.7,,,0.1,,2,2,3,0.323,1.512,1.812,3.008,3.204,0.859,0.43,1.532,1.209,2.055,2.501,1.452,2.471,3.634,5.685,2.711,2.118,1.469,0.678,,,117,,12.102,,,,0.01,,0.477,7.578,3.871,0.071,14.876,3.675,0.178,0.16
"Pork, cured, bacon, cooked, pan-fried",1000,10862,11.575,1.31,0.389,2,1.3,130.8,,,,,2,2,4.2,0.321,1.501,1.798,2.985,3.18,0.853,0.426,1.521,1.2,2.04,2.483,1.441,2.453,3.607,5.643,2.691,2.103,1.458,0.673,,,113,,13.291,,,,,,0.514,8.436,4.164,0.076,16.391,,,0.156
"Pork, fresh, variety meats and by-products, stomach, cooked, simmered",1000,10863,1.38,0.566,0.021,3,0.48,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,316,0.11,2.99,,,,,,0.085,1.548,1.304,0.02,1.991,0.547,0.016,0.146
"Pork, bacon, rendered fat, cooked",1000,10864,0.725,0.007,0.005,,0.09,6.5,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,97,,31.991,,,,,,1.32,19.762,10.443,0.192,37.818,9.426,0.476,0.191
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",1000,10865,4.43,0.531,0.434,4,0.36,83.6,2.5,,,,4,4,5,0.201,0.958,0.967,1.716,1.809,0.512,0.24,0.857,0.695,1.083,1.37,0.933,1.261,1.868,3.065,1.118,0.919,0.838,0.139,,,62,0.032,1.254,,,,,,0.044,0.783,0.403,0.006,1.494,0.326,0.011,0.041
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",1000,10866,5.32,0.377,0.265,3,0.54,63.8,,,,,3,3,3.8,0.145,0.69,0.697,1.236,1.304,0.369,0.173,0.617,0.501,0.781,0.987,0.672,0.909,1.346,2.208,0.806,0.662,0.604,0.1,,,53,0.031,1.227,,,,,,0.044,0.767,0.395,0.006,1.462,0.319,0.01,0.04
"Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",1000,10867,5.073,0.544,0.348,1,0.6,91.1,5.6,,,,1,1,2.9,0.196,0.936,0.945,1.676,1.768,0.501,0.235,0.837,0.679,1.059,1.339,0.911,1.232,1.825,2.995,1.093,0.898,0.819,0.136,,,65,0.028,1.402,,,,,,0.046,0.875,0.456,0.006,1.881,0.537,0.015,0.066
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",1000,10868,5.436,0.726,0.461,2,0.58,90.2,3.4,,,,2,2,5.5,0.207,0.986,0.995,1.766,1.862,0.527,0.247,0.882,0.715,1.115,1.41,0.96,1.298,1.923,3.154,1.151,0.946,0.863,0.143,,,65,0.035,1.439,,,,,,0.051,0.911,0.454,0.005,1.847,0.572,0.02,0.072
"Pork, cured, ham and water product, slice, bone-in, separable lean only, heated, pan-broil",1000,10869,5.023,0.596,0.449,2,0.46,92.1,3.2,,,,2,2,3.9,0.196,0.935,0.943,1.674,1.766,0.5,0.235,0.836,0.678,1.057,1.337,0.91,1.231,1.823,2.991,1.092,0.897,0.818,0.135,,,64,0.029,1.217,,,,,,0.04,0.769,0.385,0.005,1.549,0.427,0.014,0.059
"Pork, cured, ham and water product, slice, boneless, separable lean only, heated, pan-broil",1000,10870,4.285,0.689,0.335,3,0.44,64.6,4.5,,,,3,3,4.5,0.142,0.675,0.681,1.209,1.275,0.361,0.169,0.604,0.49,0.764,0.966,0.657,0.889,1.317,2.16,0.788,0.648,0.591,0.098,,,45,0.037,1.528,,,,,,0.057,0.973,0.472,0.002,1.966,0.592,0.024,0.049
"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",1000,10871,3.62,0.644,0.26,2,0.37,63.4,4,0.2,,,2,2,4.4,0.13,0.621,0.627,1.112,1.173,0.332,0.156,0.555,0.451,0.702,0.888,0.605,0.818,1.211,1.987,0.725,0.596,0.543,0.09,,,43,0.047,1.841,,,,,,0.068,1.159,0.58,0.008,2.286,0.741,0.03,0.047
"Pork, cured, ham and water product, whole, boneless, separable lean only, unheated",1000,10872,3.87,0.661,0.294,4,0.34,64.9,4.3,,,,4,4,3.2,0.132,0.63,0.635,1.127,1.189,0.337,0.158,0.563,0.457,0.712,0.9,0.613,0.829,1.227,2.014,0.735,0.604,0.551,0.091,,,43,0.036,1.447,,,,,,0.054,0.926,0.445,,1.888,0.552,0.022,0.046
"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",1000,10873,7.62,0.486,0.384,1,0.61,110.6,9.6,,,,1,1,3,0.227,1.08,1.09,1.934,2.039,0.577,0.271,0.966,0.783,1.221,1.545,1.051,1.422,2.106,3.455,1.261,1.036,0.945,0.156,,,72,0.035,1.418,,,,,,0.052,0.915,0.418,0.005,1.846,0.588,0.021,0.083
"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",1000,10874,7.793,0.557,0.381,3,0.69,104.3,7.1,,,,3,3,2.9,0.234,1.116,1.126,1.999,2.108,0.597,0.28,0.998,0.81,1.262,1.597,1.087,1.47,2.177,3.571,1.303,1.071,0.977,0.162,,,74,0.036,1.564,,,,,,0.051,1.01,0.474,0.007,2.221,0.5,0.016,0.066
"Pork, cured, ham with natural juices, slice, bone-in, separable lean only, heated, pan-broil",1000,10875,9.01,0.469,0.392,1,0.6,138.9,5.5,,,,1,1,1.8,0.26,1.241,1.253,2.223,2.344,0.664,0.312,1.11,0.9,1.404,1.776,1.209,1.634,2.421,3.971,1.449,1.191,1.086,0.18,,,80,0.019,1.11,,,,,,0.039,0.706,0.334,0.004,1.234,0.458,0.012,0.092
"Pork, cured, ham with natural juices, spiral slice, meat only, boneless, separable lean only, heated, roasted",1000,10876,6.72,1.05,0.428,1,0.51,86.1,3.6,,,,1,1,3.7,0.212,1.009,1.019,1.808,1.906,0.54,0.253,0.903,0.732,1.142,1.444,0.983,1.329,1.968,3.229,1.178,0.968,0.883,0.146,,,63,0.011,0.493,,,,,,0.015,0.304,0.16,0.002,0.624,0.209,0.006,0.065
"Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted",1000,10877,4.04,0.618,0.335,2,0.49,94,6.1,,0.1,,2,2,3.6,0.2,0.952,0.96,1.705,1.797,0.509,0.239,0.851,0.69,1.076,1.361,0.927,1.253,1.856,3.045,1.111,0.913,0.833,0.138,,,66,0.039,1.536,,,,,,0.056,0.961,0.493,0.006,1.989,0.538,0.022,0.051
"Pork, cured, ham -- water added, slice, boneless, separable lean only, heated, pan-broil",1000,10878,5.895,0.762,0.435,1,0.47,79.4,4,,,,1,1,4.8,0.177,0.842,0.85,1.508,1.59,0.45,0.211,0.753,0.611,0.952,1.204,0.82,1.108,1.642,2.694,0.983,0.808,0.737,0.122,,,54,0.032,1.401,,,,,0.002,0.05,0.879,0.446,0.007,1.741,0.451,0.017,0.054
"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",1000,10879,5.797,0.721,0.394,1,0.4,74.2,4.1,,,,1,1,4.3,0.169,0.805,0.812,1.441,1.519,0.43,0.202,0.719,0.584,0.91,1.151,0.783,1.059,1.569,2.574,0.939,0.772,0.704,0.117,,,53,,1.424,,,,0.002,,0.051,0.898,0.447,0.005,1.83,0.453,0.019,0.051
"Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",1000,10880,5.473,0.734,0.413,2,0.47,71.7,3.5,,,,2,2,3.5,0.163,0.776,0.783,1.389,1.465,0.415,0.195,0.694,0.563,0.877,1.11,0.755,1.021,1.513,2.482,0.906,0.744,0.679,0.112,,,50,0.036,1.428,,,,,,0.05,0.902,0.453,0.005,1.794,0.488,0.02,0.05
"Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",1000,10881,4.563,0.58,0.4,2,0.46,103.3,4.8,,,,2,2,5.3,0.203,0.97,0.979,1.737,1.832,0.519,0.244,0.868,0.704,1.097,1.388,0.945,1.277,1.892,3.104,1.133,0.931,0.849,0.14,,,72,0.043,1.471,,,,,,0.046,0.917,0.481,0.007,1.839,0.596,0.018,0.077
"Pork, cured, ham with natural juices, slice, boneless, separable lean only, heated, pan-broil",1000,10882,7.395,0.841,0.506,1,0.42,82.3,3.2,,,,1,1,6.3,0.197,0.937,0.946,1.678,1.77,0.501,0.235,0.838,0.68,1.06,1.34,0.912,1.234,1.827,2.998,1.094,0.899,0.82,0.136,,,57,0.022,0.975,,,,,,0.034,0.615,0.305,0.004,1.23,0.341,0.014,0.057
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",1000,10883,6.83,0.892,0.462,2,0.42,79.8,2.4,,,,2,2,7.8,0.193,0.92,0.929,1.648,1.738,0.492,0.231,0.823,0.668,1.041,1.316,0.896,1.212,1.795,2.944,1.075,0.883,0.805,0.133,,,56,0.021,1.044,,,,,0.003,0.037,0.659,0.324,0.005,1.311,0.356,0.016,0.054
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated",1000,10884,6.877,0.788,0.474,1,0.41,75.2,3.3,,,,1,1,5.5,0.182,0.87,0.877,1.557,1.642,0.465,0.218,0.778,0.631,0.983,1.244,0.847,1.145,1.695,2.782,1.015,0.834,0.761,0.099,,,53,0.02,0.934,,,,,0.002,0.032,0.589,0.291,0.004,1.177,0.321,0.013,0.056
"Pork, cured, ham -- water added, shank, bone-in, separable lean only, unheated",1000,10885,3.59,0.46,0.246,1,0.31,76.9,,,,,1,1,2.4,0.175,0.834,0.842,1.494,1.576,0.446,0.209,0.746,0.605,0.944,1.193,0.812,1.098,1.627,2.669,0.974,0.8,0.73,0.121,,,50,0.012,0.592,,,,,,0.019,0.369,0.193,0.003,0.794,0.227,0.006,0.028
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, unheated",1000,10886,4.71,0.426,0.295,1,0.39,69.7,,,,,1,1,4.2,0.163,0.778,0.785,1.392,1.468,0.416,0.195,0.695,0.564,0.879,1.112,0.757,1.024,1.516,2.487,0.908,0.746,0.68,0.113,,,54,0.019,0.768,,,,,,0.027,0.486,0.242,0.003,0.985,0.305,0.011,0.038
"Pork, cured, ham and water product, rump, bone-in, separable lean only, unheated",1000,10887,4.09,0.462,0.247,2,0.58,81.3,,,,,2,2,3.1,0.168,0.802,0.809,1.436,1.514,0.429,0.201,0.717,0.582,0.907,1.147,0.781,1.056,1.564,2.565,0.936,0.769,0.702,0.116,,,58,0.028,1.105,,,,,,0.04,0.691,0.355,0.004,1.431,0.387,0.016,0.037
"Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",1000,10888,4.38,0.387,0.362,1,0.48,72.8,,,,,1,1,3.1,0.136,0.648,0.653,1.16,1.223,0.346,0.163,0.579,0.47,0.732,0.926,0.63,0.852,1.263,2.072,0.756,0.621,0.567,0.094,,,49,0.03,1.266,,,,,,0.042,0.8,0.401,0.005,1.612,0.445,0.015,0.061
"Pork, cured, ham and water product, shank, bone-in, unheated, separable lean only",1000,10889,3.58,0.632,0.267,1,0.55,85.7,,,,,1,1,4.4,0.165,0.784,0.791,1.405,1.481,0.419,0.197,0.701,0.569,0.887,1.122,0.764,1.033,1.529,2.509,0.916,0.752,0.686,0.114,,,52,0.041,1.384,,,,,,0.043,0.862,0.453,0.007,1.729,0.561,0.017,0.073
"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, unheated",1000,10890,7.23,0.377,0.336,1,0.51,102.2,,,,,1,1,2.8,0.213,1.016,1.025,1.819,1.918,0.543,0.255,0.908,0.737,1.149,1.453,0.989,1.337,1.981,3.25,1.186,0.975,0.889,0.147,,,68,0.029,1.16,,,,,,0.043,0.748,0.342,0.004,1.51,0.481,0.017,0.068
"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, unheated",1000,10891,5.28,0.516,0.393,3,0.37,97.3,,,,,3,3,2.7,0.236,1.123,1.133,2.011,2.121,0.601,0.282,1.004,0.815,1.27,1.606,1.094,1.479,2.19,3.593,1.311,1.078,0.983,0.163,,,63,0.024,1.048,,,,,,0.034,0.677,0.318,0.005,1.489,0.335,0.01,0.044
"Pork, cured, ham with natural juices, slice, bone-in, separable lean only, unheated",1000,10892,6.59,0.413,0.352,1,0.6,125.3,,,,,1,1,1.7,0.228,1.089,1.099,1.95,2.057,0.582,0.273,0.974,0.79,1.232,1.558,1.06,1.434,2.123,3.484,1.271,1.045,0.953,0.158,,,63,0.012,0.726,,,,,,0.026,0.462,0.219,0.003,0.808,0.3,0.008,0.06
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean only, unheated",1000,10893,5.733,,0.365,1,0.44,78.2,,,,,1,1,3.4,0.181,0.861,0.869,1.542,1.626,0.46,0.216,0.77,0.625,0.974,1.232,0.838,1.134,1.679,2.755,1.005,0.826,0.754,0.125,,,57,0.022,1.009,,,,,,0.031,0.623,0.328,0.004,1.278,0.428,0.012,0.133
"Pork, cured, ham, separable fat, boneless, heated",1000,10894,3.08,0.413,0.201,1,0.31,,,,,,1,1,,0.063,0.341,0.354,0.631,0.625,0.176,0.101,0.324,0.237,0.417,0.532,0.383,0.542,0.746,1.165,0.672,0.431,0.327,0.057,,,72,0.371,17.048,,,,0.047,0.051,0.629,10.939,5.108,0.088,22.115,5.819,0.269,0.123
"Pork, cured, ham, separable fat, boneless, unheated",1000,10895,2.57,0.345,0.187,,0.31,30.7,,,,,,,1.9,0.054,0.292,0.303,0.54,0.535,0.151,0.086,0.277,0.203,0.357,0.455,0.328,0.464,0.638,0.997,0.575,0.369,0.28,0.156,,,61,0.412,17.433,,,,,,0.637,11.1,5.408,0.086,22.354,6.218,0.29,0.121
"Pork, pickled pork hocks",1000,10898,1.1,0.344,0.064,1,0.51,,6,,,,1,1,,0.038,0.516,0.325,0.841,0.822,0.211,0.168,0.554,0.305,0.478,1.433,0.211,1.566,1.375,2.101,3.343,2.005,0.765,,,,89,0.113,3.231,,,,,,0.121,2.128,0.931,0.013,4.764,1.035,0.042,0.076
"Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",1000,10899,7.767,0.758,0.54,2,0.66,112.9,2,,,,2,2,7.3,0.255,1.216,1.227,2.177,2.296,0.65,0.305,1.087,0.882,1.375,1.739,1.184,1.601,2.371,3.89,1.419,1.167,1.064,0.176,,,73,0.03,1.253,,,,,,0.045,0.778,0.415,0.005,1.492,0.512,0.029,0.084
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",1000,10900,6.859,0.786,0.473,1,0.41,75,3.2,,,,1,1,5.5,0.182,0.867,0.875,1.553,1.637,0.464,0.218,0.775,0.629,0.981,1.24,0.844,1.142,1.691,2.774,1.013,0.832,0.759,0.099,,,53,0.002,1.005,,,,,0.002,0.035,0.635,0.314,0.004,1.268,0.346,0.014,0.056
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, unheated",1000,10901,5.575,0.017,0.356,1,0.43,75.8,,,,,1,1,3.3,0.174,0.833,0.841,1.492,1.572,0.445,0.21,0.745,0.603,0.943,1.193,0.813,1.1,1.627,2.667,0.984,0.803,0.73,0.126,,,57,0.042,1.833,,,,,,0.061,1.148,0.582,0.008,2.335,0.718,0.026,0.132
"Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, unheated",1000,10902,6.227,0.407,0.337,1,0.57,116.7,,,,,1,1,1.7,0.213,1.017,1.027,1.823,1.919,0.543,0.256,0.911,0.737,1.153,1.458,0.994,1.346,1.989,3.259,1.208,0.984,0.892,0.158,,,63,0.049,2.236,,,,,,0.081,1.424,0.688,0.01,2.755,0.835,0.033,0.066
"Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, unheated",1000,10903,4.856,0.489,0.361,3,0.36,86.9,,,,,3,3,2.6,0.207,0.993,1.003,1.781,1.873,0.53,0.251,0.89,0.719,1.127,1.426,0.974,1.32,1.947,3.187,1.196,0.967,0.873,0.162,,,62,0.085,3.614,,,,,,0.129,2.309,1.115,0.017,4.756,1.256,0.054,0.056
"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",1000,10904,6.31,0.371,0.306,1,0.47,88.1,,,,,1,1,2.6,0.182,0.873,0.882,1.566,1.645,0.466,0.222,0.784,0.631,0.992,1.256,0.858,1.165,1.715,2.805,1.065,0.855,0.769,0.149,,,67,0.105,4.373,,,,,,0.16,2.792,1.342,0.021,5.626,1.614,0.071,0.079
